Creditability,Acc_Bal_bin,Pay_Status_bin,Value_SavStock_bin,Length_Emp_bin,S&M_Status_bin,No_of_Credits_bin,Co_Credits_bin,Purpose_bin,Telephone_bin,Instalment_bin,Apartment_bin,Most_Val_Asset_bin,Duration_Credit,Credit_Amount,Age_bin
1,b. no balance,b. paid up,b. >= 100 DM,"a. Unemp, < 1 yr","b. M mar, M wid, F",a. 1,b. None,"b. new car, home related",a. No,d. >= 35,a. owner-occ / free,c. No assets,18,3213,b. >= 25 yr
1,b. no balance,c. no problem,"a. none, < 100 DM",c. above 4 years,"b. M mar, M wid, F",a. 1,b. None,"b. new car, home related",a. No,a. < 20,b. rented flat,c. No assets,36,2337,b. >= 25 yr
1,c. some balance,c. no problem,"a. none, < 100 DM",b. [1-4) years,"b. M mar, M wid, F",b. > 1,b. None,"a. used car, others",a. No,d. >= 35,b. rented flat,b. Savings / Car / Other,11,7228,b. >= 25 yr
1,a. no account,c. no problem,"a. none, < 100 DM",b. [1-4) years,"b. M mar, M wid, F",b. > 1,b. None,"a. used car, others",a. No,d. >= 35,a. owner-occ / free,c. No assets,6,3676,b. >= 25 yr
1,b. no balance,c. no problem,"a. none, < 100 DM","a. Unemp, < 1 yr","b. M mar, M wid, F",b. > 1,a. Other Banks or Dept Stores,"a. used car, others",a. No,d. >= 35,b. rented flat,c. No assets,12,3124,b. >= 25 yr
0,b. no balance,b. paid up,"a. none, < 100 DM","a. Unemp, < 1 yr","b. M mar, M wid, F",a. 1,b. None,"b. new car, home related",a. No,a. < 20,a. owner-occ / free,a. Own house / land,36,2384,b. >= 25 yr
1,b. no balance,c. no problem,"a. none, < 100 DM",c. above 4 years,"b. M mar, M wid, F",a. 1,b. None,"b. new car, home related",a. No,a. < 20,b. rented flat,b. Savings / Car / Other,12,1424,b. >= 25 yr
1,a. no account,c. no problem,b. >= 100 DM,"a. Unemp, < 1 yr","b. M mar, M wid, F",b. > 1,b. None,"a. used car, others",a. No,d. >= 35,b. rented flat,c. No assets,6,4716,b. >= 25 yr
1,b. no balance,c. no problem,"a. none, < 100 DM",c. above 4 years,"b. M mar, M wid, F",a. 1,b. None,"b. new car, home related",a. No,c. [25-35),b. rented flat,b. Savings / Car / Other,11,4771,b. >= 25 yr
1,a. no account,b. paid up,"a. none, < 100 DM",c. above 4 years,"a. M div, M single",a. 1,b. None,"a. used car, others",a. No,a. < 20,a. owner-occ / free,b. Savings / Car / Other,12,652,a < 25 yr
1,b. no balance,c. no problem,"a. none, < 100 DM",c. above 4 years,"b. M mar, M wid, F",b. > 1,b. None,"b. new car, home related",a. No,c. [25-35),b. rented flat,c. No assets,9,1154,b. >= 25 yr
1,c. some balance,b. paid up,b. >= 100 DM,b. [1-4) years,"b. M mar, M wid, F",a. 1,b. None,"a. used car, others",a. No,b. [20-25),b. rented flat,a. Own house / land,15,3556,b. >= 25 yr
1,c. some balance,c. no problem,"a. none, < 100 DM",c. above 4 years,"b. M mar, M wid, F",a. 1,b. None,"b. new car, home related",a. No,a. < 20,a. owner-occ / free,a. Own house / land,42,4796,b. >= 25 yr
1,c. some balance,c. no problem,"a. none, < 100 DM",c. above 4 years,"b. M mar, M wid, F",a. 1,b. None,"b. new car, home related",a. No,a. < 20,b. rented flat,b. Savings / Car / Other,30,3017,b. >= 25 yr
1,c. some balance,c. no problem,"a. none, < 100 DM",c. above 4 years,"b. M mar, M wid, F",b. > 1,b. None,"a. used car, others",b. Yes,a. < 20,b. rented flat,b. Savings / Car / Other,36,3535,b. >= 25 yr
1,c. some balance,c. no problem,"a. none, < 100 DM",c. above 4 years,"b. M mar, M wid, F",b. > 1,b. None,"a. used car, others",b. Yes,a. < 20,b. rented flat,b. Savings / Car / Other,36,6614,b. >= 25 yr
1,c. some balance,b. paid up,b. >= 100 DM,c. above 4 years,"a. M div, M single",a. 1,b. None,"b. new car, home related",a. No,a. < 20,b. rented flat,b. Savings / Car / Other,24,1376,b. >= 25 yr
1,a. no account,b. paid up,"a. none, < 100 DM","a. Unemp, < 1 yr","b. M mar, M wid, F",a. 1,b. None,"a. used car, others",a. No,c. [25-35),b. rented flat,c. No assets,15,1721,b. >= 25 yr
1,a. no account,c. no problem,"a. none, < 100 DM",c. above 4 years,"a. M div, M single",b. > 1,b. None,"a. used car, others",b. Yes,d. >= 35,b. rented flat,a. Own house / land,6,860,b. >= 25 yr
1,c. some balance,c. no problem,"a. none, < 100 DM",c. above 4 years,"b. M mar, M wid, F",b. > 1,b. None,"a. used car, others",a. No,a. < 20,b. rented flat,c. No assets,12,1495,b. >= 25 yr
1,c. some balance,c. no problem,"a. none, < 100 DM",c. above 4 years,"b. M mar, M wid, F",b. > 1,b. None,"b. new car, home related",a. No,c. [25-35),b. rented flat,a. Own house / land,12,1934,b. >= 25 yr
1,c. some balance,b. paid up,b. >= 100 DM,b. [1-4) years,"b. M mar, M wid, F",a. 1,b. None,"b. new car, home related",b. Yes,c. [25-35),b. rented flat,b. Savings / Car / Other,18,3378,b. >= 25 yr
1,c. some balance,c. no problem,"a. none, < 100 DM",c. above 4 years,"a. M div, M single",b. > 1,b. None,"b. new car, home related",b. Yes,a. < 20,a. owner-occ / free,b. Savings / Car / Other,24,3868,b. >= 25 yr
1,c. some balance,c. no problem,b. >= 100 DM,c. above 4 years,"a. M div, M single",b. > 1,b. None,"b. new car, home related",a. No,a. < 20,b. rented flat,c. No assets,12,996,a < 25 yr
1,a. no account,b. paid up,"a. none, < 100 DM",c. above 4 years,"a. M div, M single",a. 1,b. None,"a. used car, others",b. Yes,a. < 20,b. rented flat,c. No assets,24,1755,b. >= 25 yr
1,c. some balance,c. no problem,"a. none, < 100 DM",b. [1-4) years,"a. M div, M single",b. > 1,b. None,"a. used car, others",a. No,a. < 20,b. rented flat,c. No assets,18,1028,b. >= 25 yr
1,b. no balance,c. no problem,b. >= 100 DM,c. above 4 years,"b. M mar, M wid, F",b. > 1,b. None,"a. used car, others",b. Yes,a. < 20,b. rented flat,a. Own house / land,24,2825,b. >= 25 yr
1,b. no balance,b. paid up,b. >= 100 DM,b. [1-4) years,"b. M mar, M wid, F",a. 1,b. None,"b. new car, home related",a. No,a. < 20,a. owner-occ / free,a. Own house / land,18,1239,b. >= 25 yr
0,a. no account,b. paid up,"a. none, < 100 DM","a. Unemp, < 1 yr","a. M div, M single",a. 1,b. None,"a. used car, others",b. Yes,a. < 20,a. owner-occ / free,b. Savings / Car / Other,18,1216,a < 25 yr
1,c. some balance,b. paid up,"a. none, < 100 DM",c. above 4 years,"b. M mar, M wid, F",a. 1,b. None,"a. used car, others",b. Yes,a. < 20,b. rented flat,c. No assets,24,1258,b. >= 25 yr
0,c. some balance,c. no problem,"a. none, < 100 DM",b. [1-4) years,"a. M div, M single",b. > 1,b. None,"b. new car, home related",a. No,a. < 20,b. rented flat,c. No assets,18,1864,b. >= 25 yr
1,c. some balance,b. paid up,"a. none, < 100 DM","a. Unemp, < 1 yr","b. M mar, M wid, F",a. 1,b. None,"a. used car, others",b. Yes,a. < 20,b. rented flat,c. No assets,24,1474,b. >= 25 yr
1,a. no account,c. no problem,"a. none, < 100 DM",c. above 4 years,"b. M mar, M wid, F",b. > 1,b. None,"a. used car, others",b. Yes,a. < 20,b. rented flat,c. No assets,24,1382,b. >= 25 yr
1,c. some balance,b. paid up,"a. none, < 100 DM",b. [1-4) years,"a. M div, M single",a. 1,b. None,"a. used car, others",a. No,a. < 20,b. rented flat,c. No assets,12,640,b. >= 25 yr
1,c. some balance,b. paid up,"a. none, < 100 DM",b. [1-4) years,"b. M mar, M wid, F",a. 1,b. None,"b. new car, home related",b. Yes,c. [25-35),b. rented flat,c. No assets,36,3919,a < 25 yr
1,c. some balance,c. no problem,"a. none, < 100 DM",b. [1-4) years,"b. M mar, M wid, F",b. > 1,b. None,"a. used car, others",a. No,b. [20-25),b. rented flat,c. No assets,9,1224,b. >= 25 yr
1,c. some balance,c. no problem,b. >= 100 DM,c. above 4 years,"b. M mar, M wid, F",a. 1,b. None,"b. new car, home related",b. Yes,d. >= 35,b. rented flat,c. No assets,12,2331,b. >= 25 yr
1,c. some balance,b. paid up,b. >= 100 DM,c. above 4 years,"b. M mar, M wid, F",a. 1,b. None,"b. new car, home related",b. Yes,b. [20-25),b. rented flat,b. Savings / Car / Other,24,6313,b. >= 25 yr
1,a. no account,c. no problem,"a. none, < 100 DM",c. above 4 years,"a. M div, M single",b. > 1,b. None,"b. new car, home related",b. Yes,a. < 20,b. rented flat,c. No assets,12,385,b. >= 25 yr
1,c. some balance,c. no problem,"a. none, < 100 DM",c. above 4 years,"b. M mar, M wid, F",b. > 1,b. None,"b. new car, home related",b. Yes,c. [25-35),b. rented flat,c. No assets,12,1655,b. >= 25 yr
1,a. no account,b. paid up,"a. none, < 100 DM","a. Unemp, < 1 yr","b. M mar, M wid, F",a. 1,b. None,"b. new car, home related",a. No,a. < 20,b. rented flat,c. No assets,15,1053,b. >= 25 yr
1,c. some balance,b. paid up,b. >= 100 DM,c. above 4 years,"b. M mar, M wid, F",a. 1,b. None,"b. new car, home related",b. Yes,a. < 20,b. rented flat,b. Savings / Car / Other,21,3160,b. >= 25 yr
1,c. some balance,b. paid up,b. >= 100 DM,b. [1-4) years,"b. M mar, M wid, F",a. 1,b. None,"a. used car, others",a. No,a. < 20,b. rented flat,c. No assets,36,3079,b. >= 25 yr
1,c. some balance,c. no problem,b. >= 100 DM,b. [1-4) years,"b. M mar, M wid, F",a. 1,b. None,"a. used car, others",b. Yes,a. < 20,b. rented flat,c. No assets,12,1163,b. >= 25 yr
1,c. some balance,b. paid up,"a. none, < 100 DM","a. Unemp, < 1 yr","a. M div, M single",a. 1,b. None,"b. new car, home related",b. Yes,a. < 20,b. rented flat,a. Own house / land,24,2679,b. >= 25 yr
1,c. some balance,c. no problem,b. >= 100 DM,c. above 4 years,"b. M mar, M wid, F",a. 1,b. None,"b. new car, home related",b. Yes,a. < 20,b. rented flat,c. No assets,48,3578,b. >= 25 yr
1,c. some balance,c. no problem,"a. none, < 100 DM",c. above 4 years,"b. M mar, M wid, F",b. > 1,b. None,"a. used car, others",b. Yes,c. [25-35),b. rented flat,b. Savings / Car / Other,36,10875,b. >= 25 yr
1,a. no account,c. no problem,"a. none, < 100 DM",b. [1-4) years,"b. M mar, M wid, F",b. > 1,b. None,"a. used car, others",a. No,a. < 20,b. rented flat,c. No assets,12,1344,b. >= 25 yr
1,c. some balance,c. no problem,"a. none, < 100 DM",b. [1-4) years,"a. M div, M single",b. > 1,b. None,"b. new car, home related",a. No,d. >= 35,b. rented flat,b. Savings / Car / Other,6,1237,b. >= 25 yr
1,c. some balance,b. paid up,"a. none, < 100 DM",b. [1-4) years,"b. M mar, M wid, F",a. 1,b. None,"b. new car, home related",b. Yes,c. [25-35),b. rented flat,b. Savings / Car / Other,12,3077,b. >= 25 yr
1,c. some balance,b. paid up,"a. none, < 100 DM",c. above 4 years,"b. M mar, M wid, F",a. 1,b. None,"b. new car, home related",b. Yes,a. < 20,b. rented flat,b. Savings / Car / Other,24,2284,b. >= 25 yr
1,b. no balance,b. paid up,"a. none, < 100 DM",b. [1-4) years,"a. M div, M single",a. 1,b. None,"b. new car, home related",b. Yes,d. >= 35,b. rented flat,b. Savings / Car / Other,12,1567,a < 25 yr
1,c. some balance,c. no problem,"a. none, < 100 DM",c. above 4 years,"b. M mar, M wid, F",b. > 1,b. None,"a. used car, others",b. Yes,a. < 20,a. owner-occ / free,a. Own house / land,24,2032,b. >= 25 yr
1,b. no balance,c. no problem,b. >= 100 DM,c. above 4 years,"b. M mar, M wid, F",b. > 1,b. None,"a. used car, others",b. Yes,b. [20-25),b. rented flat,b. Savings / Car / Other,21,2745,b. >= 25 yr
1,c. some balance,b. paid up,b. >= 100 DM,c. above 4 years,"b. M mar, M wid, F",a. 1,b. None,"b. new car, home related",b. Yes,a. < 20,b. rented flat,b. Savings / Car / Other,30,1867,b. >= 25 yr
1,c. some balance,b. paid up,b. >= 100 DM,c. above 4 years,"b. M mar, M wid, F",a. 1,b. None,"b. new car, home related",a. No,a. < 20,b. rented flat,b. Savings / Car / Other,36,2299,b. >= 25 yr
1,c. some balance,b. paid up,b. >= 100 DM,c. above 4 years,"b. M mar, M wid, F",a. 1,a. Other Banks or Dept Stores,"a. used car, others",b. Yes,a. < 20,b. rented flat,b. Savings / Car / Other,24,929,b. >= 25 yr
1,c. some balance,b. paid up,b. >= 100 DM,c. above 4 years,"b. M mar, M wid, F",a. 1,b. None,"b. new car, home related",a. No,c. [25-35),b. rented flat,b. Savings / Car / Other,12,3399,b. >= 25 yr
1,b. no balance,b. paid up,b. >= 100 DM,c. above 4 years,"b. M mar, M wid, F",a. 1,b. None,"a. used car, others",b. Yes,c. [25-35),b. rented flat,b. Savings / Car / Other,9,2030,a < 25 yr
1,c. some balance,c. no problem,"a. none, < 100 DM",c. above 4 years,"b. M mar, M wid, F",a. 1,b. None,"b. new car, home related",b. Yes,d. >= 35,b. rented flat,b. Savings / Car / Other,21,3275,b. >= 25 yr
1,c. some balance,c. no problem,b. >= 100 DM,c. above 4 years,"b. M mar, M wid, F",a. 1,b. None,"a. used car, others",b. Yes,a. < 20,b. rented flat,c. No assets,24,1940,b. >= 25 yr
1,a. no account,c. no problem,"a. none, < 100 DM",c. above 4 years,"b. M mar, M wid, F",b. > 1,b. None,"a. used car, others",b. Yes,a. < 20,b. rented flat,b. Savings / Car / Other,21,1602,b. >= 25 yr
1,c. some balance,b. paid up,b. >= 100 DM,c. above 4 years,"b. M mar, M wid, F",a. 1,b. None,"b. new car, home related",a. No,a. < 20,b. rented flat,b. Savings / Car / Other,15,1979,b. >= 25 yr
1,c. some balance,c. no problem,"a. none, < 100 DM",b. [1-4) years,"a. M div, M single",a. 1,b. None,"a. used car, others",b. Yes,a. < 20,b. rented flat,b. Savings / Car / Other,24,2022,b. >= 25 yr
1,c. some balance,c. no problem,b. >= 100 DM,c. above 4 years,"b. M mar, M wid, F",a. 1,b. None,"b. new car, home related",b. Yes,a. < 20,b. rented flat,b. Savings / Car / Other,36,3342,b. >= 25 yr
1,b. no balance,b. paid up,"a. none, < 100 DM",b. [1-4) years,"b. M mar, M wid, F",b. > 1,b. None,"a. used car, others",b. Yes,c. [25-35),b. rented flat,b. Savings / Car / Other,18,5866,b. >= 25 yr
1,c. some balance,c. no problem,b. >= 100 DM,b. [1-4) years,"b. M mar, M wid, F",a. 1,b. None,"b. new car, home related",b. Yes,c. [25-35),b. rented flat,b. Savings / Car / Other,15,2360,b. >= 25 yr
1,c. some balance,c. no problem,b. >= 100 DM,c. above 4 years,"b. M mar, M wid, F",a. 1,b. None,"a. used car, others",a. No,a. < 20,b. rented flat,b. Savings / Car / Other,15,1520,b. >= 25 yr
1,a. no account,b. paid up,b. >= 100 DM,b. [1-4) years,"b. M mar, M wid, F",a. 1,b. None,"a. used car, others",a. No,d. >= 35,b. rented flat,b. Savings / Car / Other,12,3651,b. >= 25 yr
1,c. some balance,c. no problem,"a. none, < 100 DM",c. above 4 years,"b. M mar, M wid, F",b. > 1,b. None,"b. new car, home related",b. Yes,a. < 20,b. rented flat,b. Savings / Car / Other,24,2346,b. >= 25 yr
1,c. some balance,c. no problem,"a. none, < 100 DM",b. [1-4) years,"a. M div, M single",b. > 1,b. None,"b. new car, home related",a. No,a. < 20,b. rented flat,c. No assets,36,4454,b. >= 25 yr
1,a. no account,c. no problem,b. >= 100 DM,c. above 4 years,"a. M div, M single",b. > 1,b. None,"a. used car, others",b. Yes,b. [20-25),b. rented flat,c. No assets,6,666,b. >= 25 yr
1,b. no balance,c. no problem,b. >= 100 DM,b. [1-4) years,"a. M div, M single",b. > 1,b. None,"a. used car, others",b. Yes,a. < 20,a. owner-occ / free,b. Savings / Car / Other,24,1965,b. >= 25 yr
1,b. no balance,c. no problem,"a. none, < 100 DM","a. Unemp, < 1 yr","b. M mar, M wid, F",a. 1,b. None,"a. used car, others",a. No,a. < 20,b. rented flat,b. Savings / Car / Other,12,1995,b. >= 25 yr
1,b. no balance,b. paid up,b. >= 100 DM,c. above 4 years,"a. M div, M single",a. 1,b. None,"b. new car, home related",a. No,c. [25-35),b. rented flat,b. Savings / Car / Other,30,2991,b. >= 25 yr
1,b. no balance,a. some problem,"a. none, < 100 DM",b. [1-4) years,"a. M div, M single",b. > 1,b. None,"a. used car, others",a. No,c. [25-35),b. rented flat,b. Savings / Car / Other,30,4221,b. >= 25 yr
1,a. no account,b. paid up,"a. none, < 100 DM",c. above 4 years,"b. M mar, M wid, F",a. 1,b. None,"b. new car, home related",a. No,b. [20-25),b. rented flat,c. No assets,9,1364,b. >= 25 yr
1,b. no balance,c. no problem,"a. none, < 100 DM",c. above 4 years,"b. M mar, M wid, F",a. 1,b. None,"a. used car, others",b. Yes,c. [25-35),b. rented flat,a. Own house / land,18,6361,b. >= 25 yr
1,c. some balance,c. no problem,b. >= 100 DM,"a. Unemp, < 1 yr","b. M mar, M wid, F",b. > 1,a. Other Banks or Dept Stores,"a. used car, others",b. Yes,a. < 20,b. rented flat,c. No assets,27,4526,b. >= 25 yr
1,b. no balance,c. no problem,"a. none, < 100 DM",b. [1-4) years,"a. M div, M single",a. 1,b. None,"b. new car, home related",a. No,d. >= 35,b. rented flat,c. No assets,12,3573,a < 25 yr
0,b. no balance,c. no problem,"a. none, < 100 DM",b. [1-4) years,"a. M div, M single",b. > 1,a. Other Banks or Dept Stores,"a. used car, others",b. Yes,c. [25-35),b. rented flat,c. No assets,36,4455,b. >= 25 yr
1,a. no account,b. paid up,"a. none, < 100 DM",b. [1-4) years,"b. M mar, M wid, F",a. 1,b. None,"a. used car, others",a. No,b. [20-25),b. rented flat,c. No assets,9,2136,b. >= 25 yr
1,b. no balance,c. no problem,"a. none, < 100 DM",c. above 4 years,"a. M div, M single",b. > 1,a. Other Banks or Dept Stores,"a. used car, others",a. No,c. [25-35),b. rented flat,c. No assets,42,5954,b. >= 25 yr
1,c. some balance,c. no problem,b. >= 100 DM,b. [1-4) years,"b. M mar, M wid, F",a. 1,b. None,"a. used car, others",b. Yes,a. < 20,b. rented flat,c. No assets,24,3777,b. >= 25 yr
1,a. no account,b. paid up,"a. none, < 100 DM",b. [1-4) years,"a. M div, M single",a. 1,b. None,"a. used car, others",a. No,a. < 20,b. rented flat,b. Savings / Car / Other,15,806,a < 25 yr
1,b. no balance,c. no problem,b. >= 100 DM,b. [1-4) years,"b. M mar, M wid, F",b. > 1,a. Other Banks or Dept Stores,"a. used car, others",b. Yes,a. < 20,b. rented flat,b. Savings / Car / Other,24,4712,b. >= 25 yr
1,b. no balance,c. no problem,"a. none, < 100 DM",b. [1-4) years,"a. M div, M single",a. 1,b. None,"a. used car, others",a. No,c. [25-35),a. owner-occ / free,b. Savings / Car / Other,36,7432,b. >= 25 yr
1,c. some balance,c. no problem,"a. none, < 100 DM",c. above 4 years,"b. M mar, M wid, F",b. > 1,b. None,"b. new car, home related",b. Yes,a. < 20,b. rented flat,b. Savings / Car / Other,24,1851,b. >= 25 yr
1,c. some balance,b. paid up,"a. none, < 100 DM",b. [1-4) years,"b. M mar, M wid, F",a. 1,b. None,"a. used car, others",b. Yes,c. [25-35),b. rented flat,c. No assets,24,1393,b. >= 25 yr
1,c. some balance,c. no problem,"a. none, < 100 DM",b. [1-4) years,"a. M div, M single",b. > 1,b. None,"a. used car, others",b. Yes,a. < 20,b. rented flat,c. No assets,12,1412,b. >= 25 yr
1,c. some balance,b. paid up,"a. none, < 100 DM","a. Unemp, < 1 yr","b. M mar, M wid, F",a. 1,b. None,"b. new car, home related",b. Yes,b. [20-25),b. rented flat,c. No assets,18,1473,b. >= 25 yr
1,c. some balance,b. paid up,"a. none, < 100 DM","a. Unemp, < 1 yr","a. M div, M single",a. 1,a. Other Banks or Dept Stores,"b. new car, home related",b. Yes,a. < 20,b. rented flat,b. Savings / Car / Other,24,1533,b. >= 25 yr
1,c. some balance,c. no problem,b. >= 100 DM,c. above 4 years,"a. M div, M single",a. 1,b. None,"b. new car, home related",a. No,a. < 20,b. rented flat,b. Savings / Car / Other,12,2012,b. >= 25 yr
0,a. no account,b. paid up,"a. none, < 100 DM",b. [1-4) years,"a. M div, M single",a. 1,b. None,"a. used car, others",b. Yes,b. [20-25),b. rented flat,b. Savings / Car / Other,15,3959,b. >= 25 yr
1,a. no account,b. paid up,"a. none, < 100 DM",c. above 4 years,"a. M div, M single",a. 1,a. Other Banks or Dept Stores,"a. used car, others",b. Yes,c. [25-35),b. rented flat,b. Savings / Car / Other,6,428,b. >= 25 yr
1,b. no balance,c. no problem,b. >= 100 DM,c. above 4 years,"a. M div, M single",a. 1,b. None,"a. used car, others",b. Yes,b. [20-25),b. rented flat,b. Savings / Car / Other,12,2366,b. >= 25 yr
1,c. some balance,b. paid up,"a. none, < 100 DM",b. [1-4) years,"a. M div, M single",a. 1,b. None,"a. used car, others",b. Yes,a. < 20,b. rented flat,c. No assets,12,763,b. >= 25 yr
1,b. no balance,b. paid up,b. >= 100 DM,c. above 4 years,"b. M mar, M wid, F",a. 1,b. None,"a. used car, others",b. Yes,c. [25-35),b. rented flat,b. Savings / Car / Other,21,3976,b. >= 25 yr
1,b. no balance,b. paid up,"a. none, < 100 DM",c. above 4 years,"b. M mar, M wid, F",a. 1,b. None,"a. used car, others",a. No,b. [20-25),a. owner-occ / free,c. No assets,18,6260,b. >= 25 yr
1,b. no balance,c. no problem,"a. none, < 100 DM",c. above 4 years,"b. M mar, M wid, F",a. 1,b. None,"a. used car, others",b. Yes,a. < 20,a. owner-occ / free,b. Savings / Car / Other,9,1919,b. >= 25 yr
1,c. some balance,b. paid up,b. >= 100 DM,b. [1-4) years,"a. M div, M single",a. 1,b. None,"b. new car, home related",b. Yes,c. [25-35),a. owner-occ / free,b. Savings / Car / Other,24,2603,b. >= 25 yr
1,c. some balance,c. no problem,b. >= 100 DM,c. above 4 years,"b. M mar, M wid, F",b. > 1,b. None,"b. new car, home related",b. Yes,a. < 20,b. rented flat,b. Savings / Car / Other,9,936,b. >= 25 yr
1,c. some balance,b. paid up,b. >= 100 DM,c. above 4 years,"b. M mar, M wid, F",a. 1,b. None,"a. used car, others",b. Yes,a. < 20,a. owner-occ / free,a. Own house / land,24,3062,b. >= 25 yr
1,b. no balance,b. paid up,"a. none, < 100 DM","a. Unemp, < 1 yr","a. M div, M single",a. 1,b. None,"b. new car, home related",b. Yes,a. < 20,b. rented flat,a. Own house / land,36,4795,b. >= 25 yr
1,c. some balance,c. no problem,"a. none, < 100 DM",c. above 4 years,"b. M mar, M wid, F",b. > 1,b. None,"b. new car, home related",b. Yes,c. [25-35),b. rented flat,b. Savings / Car / Other,36,5842,b. >= 25 yr
1,b. no balance,b. paid up,"a. none, < 100 DM","a. Unemp, < 1 yr","b. M mar, M wid, F",a. 1,b. None,"b. new car, home related",b. Yes,a. < 20,a. owner-occ / free,b. Savings / Car / Other,6,2063,b. >= 25 yr
1,c. some balance,c. no problem,"a. none, < 100 DM",b. [1-4) years,"a. M div, M single",a. 1,b. None,"b. new car, home related",a. No,a. < 20,b. rented flat,b. Savings / Car / Other,15,1459,b. >= 25 yr
1,c. some balance,b. paid up,b. >= 100 DM,c. above 4 years,"b. M mar, M wid, F",a. 1,a. Other Banks or Dept Stores,"b. new car, home related",b. Yes,a. < 20,b. rented flat,b. Savings / Car / Other,15,1213,b. >= 25 yr
1,c. some balance,c. no problem,"a. none, < 100 DM","a. Unemp, < 1 yr","b. M mar, M wid, F",b. > 1,b. None,"b. new car, home related",b. Yes,b. [20-25),a. owner-occ / free,a. Own house / land,24,5103,b. >= 25 yr
1,c. some balance,b. paid up,b. >= 100 DM,"a. Unemp, < 1 yr","a. M div, M single",a. 1,b. None,"b. new car, home related",a. No,a. < 20,b. rented flat,c. No assets,15,874,a < 25 yr
